ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8029,8029,YDGS001,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,MM003,https://image.zlmicro.com/images/product/20230302/20230302110402552.jpg,13,https://image.zlmicro.com/images/product/qrcode/8029.png,classic|music|shake|intera|finger|video|game|explore,2.4G,149,No,Estándar,77 62 4d 53 45,
8005,8005,AATD174,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0, ,https://image.zlmicro.com/images/product/20221024/20221024165444991.jpg,3,https://image.zlmicro.com/images/product/qrcode/8005.png,classic|music|shake|intera|finger|video|game|explore,2.4G,143,No,0-255,77 62 4d 53 45,
8039,8039,AAGS023,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230307/20230307154359518.png,13,https://image.zlmicro.com/images/product/qrcode/8039.png,classic|music|shake|intera|finger|video|game|explore,2.4G,149,No,Estándar,77 62 4d 53 45,
8009,8009,AATD189,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,若拉2代,https://image.zlmicro.com/images/product/20221124/20221124105909735.png,3,https://image.zlmicro.com/images/product/qrcode/8009.png,classic|music|shake|intera|finger|video|game|explore,2.4G,20,No,0-255,77 62 4d 53 45,
8035,8035,AAZD173,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250519/20250519165851065.jpg,2,https://image.zlmicro.com/images/product/20250519/202505191658580838035.png,classic|music|shake|intera|finger|video|game,2.4G,93,No,0-255,77 62 4d 53 45,
8033,8033,MNSJ001,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250415/20250415165418519.jpg,10,https://image.zlmicro.com/images/product/20250415/202504151654260098033.png,classic|music|shake|intera|finger|video|game,2.4G,107,No,0-255,77 62 4d 53 45,
8032,8032,HATD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,HB-1816,https://image.zlmicro.com/images/product/20220429/20220429142859777.png,3,https://image.zlmicro.com/images/product/qrcode/8032.png,classic|music|shake|intera|finger|video|game|explore,2.4G,107,No,0-255,77 62 4d 53 45,
8001,8001,HESJ011,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,SJH-011,https://image.zlmicro.com/images/product/20230610/20230610114525834.png,10,https://image.zlmicro.com/images/product/qrcode/8001.png,classic|music|shake|intera|finger|video|game|explore,2.4G,157,No,0-255,77 62 4d 53 45,
8008,8008,AATD003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251104/20251104112711977.png,3,https://image.zlmicro.com/images/product/20251104/202511041127266688008.png,classic|music|shake|intera|finger|video|game,2.4G,6,No,0-255,77 62 4d 53 45,
8037,8037,AATD293,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230428/20230428115836136.png,3,https://image.zlmicro.com/images/product/qrcode/8037.png,classic|music|shake|intera|finger|video|game|explore,2.4G,93,No,0-255,77 62 4d 53 45,
8021,8021,ZACD004,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250806/20250806173115870.png,7,https://image.zlmicro.com/images/product/20250806/202508061731213588021.png,classic|music|shake|intera|finger|video|game,2.4G,371,No,0-255,77 62 4d 53 45,
8028,8028,XBHT003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,A01-034A,https://image.zlmicro.com/images/product/20230111/20230111160000224.png,4,https://image.zlmicro.com/images/product/qrcode/8028.png,classic|music|shake|intera|finger|video|game|explore,2.4G,129,No,0-255,77 62 4d 53 45,
